101, Kathmandu, North, 4, 50000, Not Available
102, Pokhara, East, 5, 60000, Not Available
103, Lalitpur, South, 10, 100000, Not Available
104, Bhaktapur, West, 8, 80000, Not Available
105, Biratnagar, East, 6, 70000, Not Available
106, Butwal, South, 7, 75000, Not Available
107, Dharan, East, 4, 45000, Not Available
108, Dhangadhi, West, 12, 120000, Not Available
109, Hetauda, South, 9, 90000, Not Available
110, Itahari, East, 3, 35000, Available
111, Janakpur, South, 6, 65000, Not Available
112, Kirtipur, West, 5, 55000, Not Available
